Index,Category,Seismic Force-Resisting System,R,Omega_0,C_d
A1,BEARING WALL SYSTEMS,Special reinforced concrete shear walls,5.00,2.50,5.00
A2,BEARING WALL SYSTEMS,Ordinary reinforced concrete shear walls,4.00,2.50,4.00
A3,BEARING WALL SYSTEMS,Detailed plain concrete shear walls,2.00,2.50,2.00
A4,BEARING WALL SYSTEMS,Ordinary plain concrete shear walls,1.50,2.50,1.50
A5,BEARING WALL SYSTEMS,Intermediate precast shear walls,4.00,2.50,4.00
A6,BEARING WALL SYSTEMS,Ordinary precast shear walls,3.00,2.50,3.00
A7,BEARING WALL SYSTEMS,Special reinforced masonry shear walls,5.00,2.50,3.50
A8,BEARING WALL SYSTEMS,Intermediate reinforced masonry shear walls,3.50,2.50,2.25
A9,BEARING WALL SYSTEMS,Ordinary reinforced masonry shear walls,2.00,2.50,1.75
A10,BEARING WALL SYSTEMS,Detailed plain masonry shear walls,2.00,2.50,1.75
A11,BEARING WALL SYSTEMS,Ordinary plain masonry shear walls,1.50,2.50,1.25
A12,BEARING WALL SYSTEMS,Prestressed masonry shear walls,1.50,2.50,1.75
A13,BEARING WALL SYSTEMS,Ordinary reinforced AAC masonry shear walls,2.00,2.50,2.00
A14,BEARING WALL SYSTEMS,Ordinary plain AAC masonry shear walls,1.50,2.50,1.50
A15,BEARING WALL SYSTEMS,Light-frame (wood) walls sheathed with wood structural panels rated for shear resistance,6.50,3.00,4.00
A16,BEARING WALL SYSTEMS,Light-frame (cold-formed steel) walls sheathed with wood structural panels rated for shear resistance or steel sheets,6.50,3.00,4.00
A17,BEARING WALL SYSTEMS,Light-frame walls with shear panels of all other materials,2.00,2.50,2.00
A18,BEARING WALL SYSTEMS,Light-frame (cold-formed steel) wall systems using flat strap bracing,4.00,2.00,3.50
B1,BUILDING FRAME SYSTEMS,Steel eccentrically braced frames,8.00,2.00,4.00
B2,BUILDING FRAME SYSTEMS,Steel special concentrically braced frames,6.00,2.00,5.00
B3,BUILDING FRAME SYSTEMS,Steel ordinary concentrically braced frames,3.25,2.00,3.25
B4,BUILDING FRAME SYSTEMS,Special reinforced concrete shear walls,6.00,2.50,5.00
B5,BUILDING FRAME SYSTEMS,Ordinary reinforced concrete shear walls,5.00,2.50,4.50
B6,BUILDING FRAME SYSTEMS,Detailed plain concrete shear walls,2.00,2.50,2.00
B7,BUILDING FRAME SYSTEMS,Ordinary plain concrete shear walls,1.50,2.50,1.50
B8,BUILDING FRAME SYSTEMS,Intermediate precast shear walls,5.00,2.50,4.50
