Sheathing Material,Nail Type and Size,Minimum Nail Bearing Length in Framing Member or Blocking,Minimum Nominal Panel Thickness,Minimum Nominal Width of Nailed Face at Adjoining Panel Edges and Boundaries,Case,Panel Type,Unit Shear,Apparent Shear Stiffness Value
Wood Structural Panels - Structural I,10d common,1.5,0.46875,2,23456,PLY,600,7
Wood Structural Panels - Structural I,10d common,1.5,0.46875,3,23456,PLY,670,6
Wood Structural Panels - Sheathing,6d common,1.25,0.3125,2,23456,PLY,310,4
Wood Structural Panels - Sheathing,6d common,1.25,0.3125,3,23456,PLY,350,3.5
Wood Structural Panels - Sheathing,6d common,1.25,0.375,2,23456,PLY,350,4
Wood Structural Panels - Sheathing,6d common,1.25,0.375,3,23456,PLY,390,3
Wood Structural Panels - Sheathing,8d common,1.375,0.375,2,23456,PLY,450,4.5
Wood Structural Panels - Sheathing,8d common,1.375,0.375,3,23456,PLY,505,3.5
Wood Structural Panels - Sheathing,8d common,1.375,0.4375,2,23456,PLY,475,4
Wood Structural Panels - Sheathing,8d common,1.375,0.4375,3,23456,PLY,530,3.5
Wood Structural Panels - Sheathing,8d common,1.375,0.46875,2,23456,PLY,505,4
Wood Structural Panels - Sheathing,8d common,1.375,0.46875,3,23456,PLY,560,3.5
Wood Structural Panels - Sheathing,10d common,1.5,0.46875,2,23456,PLY,530,6
Wood Structural Panels - Sheathing,10d common,1.5,0.46875,3,23456,PLY,600,5.5
Wood Structural Panels - Sheathing,10d common,1.5,0.59375,2,23456,PLY,600,5.5
Wood Structural Panels - Sheathing,10d common,1.5,0.59375,3,23456,PLY,670,5
