Sheathing Material,Minimum Nominal Panel Thickness,Minimum Nail Bearing Length in Framing Member or Blocking,Nail Type and Size,Panel Edge Nail Spacing,Panel Type,Unit Shear,Apparent Shear Stiffness Value
Wood Structural Panels - Sheathing,0.43750,1.375,8d common,4,PLY,980.0,14
Wood Structural Panels - Sheathing,0.46875,1.375,8d common,4,PLY,1065.0,13
Wood Structural Panels - Sheathing,0.46875,1.500,10d common,4,PLY,1290.0,17
Wood Structural Panels - Sheathing,0.59375,1.500,10d common,4,PLY,1430.0,16
Plywood Siding,0.31250,1.250,6d galvanized casing,4,PLY,590.0,16
Plywood Siding,0.37500,1.375,8d galvanized casing,4,PLY,670.0,18
Particleboard Sheathing,0.37500,0.000,6d common,4,PLY,505.0,17
Particleboard Sheathing,0.37500,0.000,8d common,4,PLY,530.0,20
Particleboard Sheathing,0.50000,0.000,8d common,4,PLY,590.0,20
Particleboard Sheathing,0.50000,0.000,10d common,4,PLY,770.0,23
Particleboard Sheathing,0.62500,0.000,10d common,4,PLY,855.0,23
Structural Fiberboard Sheathing,0.50000,0.000,11 gauge galvanized roofing,4,PLY,475.0,4
Structural Fiberboard Sheathing,0.78125,0.000,11 gauge galvanized roofing,4,PLY,475.0,4
Wood Structural Panels - Structural I,0.31250,1.250,6d common,3,OSB,1090.0,23
Wood Structural Panels - Structural I,0.37500,1.375,8d common,3,OSB,1290.0,30
Wood Structural Panels - Structural I,0.43750,1.375,8d common,3,OSB,1415.0,27
Wood Structural Panels - Structural I,0.46875,1.375,8d common,3,OSB,1540.0,24
Wood Structural Panels - Structural I,0.46875,1.500,10d common,3,OSB,1860.0,36
Wood Structural Panels - Sheathing,0.31250,1.250,6d common,3,OSB,980.0,24
Wood Structural Panels - Sheathing,0.37500,1.250,6d common,3,OSB,1090.0,20
Wood Structural Panels - Sheathing,0.37500,1.375,8d common,3,OSB,1150.0,31
Wood Structural Panels - Sheathing,0.43750,1.375,8d common,3,OSB,1260.0,28
Wood Structural Panels - Sheathing,0.46875,1.375,8d common,3,OSB,1370.0,25
Wood Structural Panels - Sheathing,0.46875,1.500,10d common,3,OSB,1680.0,37
Wood Structural Panels - Sheathing,0.59375,1.500,10d common,3,OSB,1860.0,33
Plywood Siding,0.31250,1.250,6d galvanized casing,3,OSB,770.0,0
Plywood Siding,0.37500,1.375,8d galvanized casing,3,OSB,870.0,0
Particleboard Sheathing,0.37500,0.000,6d common,3,OSB,645.0,0
Particleboard Sheathing,0.37500,0.000,8d common,3,OSB,670.0,0
Particleboard Sheathing,0.50000,0.000,8d common,3,OSB,755.0,0
Particleboard Sheathing,0.50000,0.000,10d common,3,OSB,1010.0,0
Particleboard Sheathing,0.62500,0.000,10d common,3,OSB,1105.0,0
Structural Fiberboard Sheathing,0.50000,0.000,11 gauge galvanized roofing,3,OSB,645.0,0
Structural Fiberboard Sheathing,0.78125,0.000,11 gauge galvanized roofing,3,OSB,645.0,0
Wood Structural Panels - Structural I,0.31250,1.250,6d common,3,PLY,1090.0,16
Wood Structural Panels - Structural I,0.37500,1.375,8d common,3,PLY,1290.0,20
Wood Structural Panels - Structural I,0.43750,1.375,8d common,3,PLY,1415.0,19
Wood Structural Panels - Structural I,0.46875,1.375,8d common,3,PLY,1540.0,17
Wood Structural Panels - Structural I,0.46875,1.500,10d common,3,PLY,1860.0,22
Wood Structural Panels - Sheathing,0.31250,1.250,6d common,3,PLY,980.0,14
Wood Structural Panels - Sheathing,0.37500,1.250,6d common,3,PLY,1090.0,13
Wood Structural Panels - Sheathing,0.37500,1.375,8d common,3,PLY,1150.0,17
Wood Structural Panels - Sheathing,0.43750,1.375,8d common,3,PLY,1260.0,17
Wood Structural Panels - Sheathing,0.46875,1.375,8d common,3,PLY,1370.0,15
Wood Structural Panels - Sheathing,0.46875,1.500,10d common,3,PLY,1680.0,19
Wood Structural Panels - Sheathing,0.59375,1.500,10d common,3,PLY,1860.0,18
Plywood Siding,0.31250,1.250,6d galvanized casing,3,PLY,770.0,17
Plywood Siding,0.37500,1.375,8d galvanized casing,3,PLY,870.0,20
Particleboard Sheathing,0.37500,0.000,6d common,3,PLY,645.0,19
Particleboard Sheathing,0.37500,0.000,8d common,3,PLY,670.0,21
